index,value
272,210969
273,-168985
274,-300456
275,-639212
276,657656
277,-168589
278,732264
279,995569
280,790168
281,110505
282,-946303
283,583450
284,409922
285,815299
286,-950950
287,996257
288,-469602
289,188828
290,174656
291,514898
292,841360
293,735090
294,-729206
295,925814
296,275616
297,857773
298,213769
299,502741
300,-726522
301,747214
302,-847197
303,-496428
304,-730970
305,618387
306,-291021
307,737655
308,311888
309,-692043
310,-15238
311,-766371
312,-939560
313,-662045
314,496658
315,-796218
316,523652
317,-281502
318,-96157
319,-70114
320,88139
321,-566130
322,-740730
323,253172
324,630147
325,-367074
326,-971926
327,775859
328,-773141
329,-331135
330,-551536
331,-391418
332,-853939
333,717661
334,109558
335,820350
336,-78420
337,-262845
338,-423165
339,879837
340,902140
341,-445593
342,-705852
343,-529318
344,857551
345,763896
346,441873
347,568277
348,-464836
349,553763
350,389772
351,941287
352,-661038
353,-539754
354,124541
355,-370987
356,-435225
357,-821182
358,261705
359,-411039
360,558251
361,-276678
362,-382493
363,-826410
364,720443
365,626925
366,410063
367,-992222
368,542932
369,-694708
370,-605422
371,-465463
372,-696495
373,-535586
374,-731502
375,-276275
376,-225304
377,-494422
378,-660958
379,23235
380,532576
381,-545768
382,-573418
383,544320
384,-124237
385,46854
386,557151
387,-532385
388,-423090
389,-516690
390,977166
391,-424479
392,-74618
393,220995
394,633017
395,630149
396,-220411
397,-309548
398,-297554
399,846438
400,725135
401,916943
402,832935
403,609276
404,357701
405,181001
406,-60643
407,-418609
408,-221565
409,678821
410,-804262
411,-128018
412,661038
413,-400732
414,-262166
415,112232
416,-374584
417,-520360
418,-972208
419,961255
420,829503
421,516227
422,149889
423,523235
424,277413
425,486225
426,-678600
427,-866047
428,-347632
429,-491228
430,-248650
431,418399
432,757511
433,-168835
434,-625714
435,-531825
436,-70462
437,636007
438,-413178
439,785861
440,628447
441,351302
442,-130792
443,468830
444,-38968
445,-618035
446,-439868
447,-316554
448,-779551
449,-567014
450,-743986
451,-559225
452,79734
453,-859165
454,-768743
455,768721
456,-449002
457,366019
458,-333467
459,834335
460,-118134
461,127457
462,-674004
463,376578
464,642223
465,425316
466,454756
467,-602957
468,841109
469,-416829
470,-223215
471,-423332
472,-174875
473,-856954
474,382579
475,466935
476,954173
477,779510
478,-704387
479,-804377
480,633806
481,141851
482,-561300
483,432273
484,-683555
485,-763286
486,-325438
487,-819858
488,-976826
489,-437303
490,5389
491,-949159
492,-280283
493,-768181
494,18718
495,453500
496,325353
497,-364268
498,-762050
499,-174860
500,138724
501,-277325
502,675770
503,305465
504,-848253
505,16823
506,340097
507,-521245
508,-272802
509,-378901
510,-83746
511,-818455
512,739
513,212766
514,418562
515,-671099
516,23140
517,869978
518,-524450
519,733508
520,-719308
521,641435
522,-904882
523,489087
524,-751723
525,-26568
526,-218670
527,-440940
528,-679224
529,794538
530,-923063
531,974559
532,-940961
533,-117584
534,198054
535,824109
536,69527
537,-351213
538,223693
539,-361564
540,-771450
541,-130933
542,-161818
543,713259
544,969766
545,219320
546,380747
547,439464
548,-84546
549,-326413
550,821103
551,315677
552,-405228
553,743012
554,-721899
555,448953
556,-123141
557,-585862
558,111265
559,-482976
560,-446629
561,554971
562,-929331
563,-300098
564,636485
565,519786
566,-243197
567,19429
568,-545585
569,611624
570,-890254
571,429924
572,888954
573,-899295
574,-930734
575,-640713
576,284239
577,-313880
578,169984
579,-330602
580,166790
581,-150192
582,990087
583,149099
584,-716806
585,754419
586,143182
587,-915399
588,657152
589,445171
590,139474
591,-504092
592,819445
593,277113
594,271485
595,410807
596,995956
597,-517514
598,-527956
599,543327
600,911392
601,951833
602,243068
603,-624334
604,-258486
605,-635683
606,-359570
607,371559
608,-105394
609,-562319
610,615932
611,327462
612,-159019
613,511303
614,715872
615,-589256
616,55133
617,909858
618,-858783
619,-410823
620,-931714
621,377273
622,555016
623,856600
624,-426085
625,-92732
626,871409
627,28149
628,-895698
629,917965
630,32484
631,-144591
632,430047
633,203361
634,671898
635,-593716
636,-195729
637,-405319
638,-546778
639,343859
640,120539
641,-777945
642,404092
643,369648
644,-741763
645,105911
646,-709425
647,-322790
648,334540
649,430008
650,-910547
651,982330
652,560669
653,433341
654,-689556
655,-710968
656,-939370
657,-926019
658,945801
659,-192886
660,438048
661,193301
662,17822
663,-117725
664,286858
665,-188724
666,-415727
667,367175
668,-250128
669,287690
670,993520
671,109099
672,54247
673,179183
674,916790
675,934200
676,-782247
677,-871516
678,535764
679,-904049
680,-517053
681,976918
682,-972990
683,681252
684,-55079
685,54597
686,-887186
687,-701637
688,418454
689,-863921
690,-983012
691,-820496
692,971575
693,203561
694,22827
695,231247
696,-379068
697,-901370
698,-3133
699,327024
700,477582
701,-423116
702,-148676
703,821714
704,153751
705,88621
706,-612171
707,602068
708,37628
709,-788823
710,-252072
711,-727995
712,836267
713,668641
714,76033
715,245742
716,692198
717,-12978
718,707618
719,913413
720,-106891
721,-746759
722,-349734
723,-222869
724,182738
725,375617
726,249995
727,-986791
728,378746
729,-540196
730,-543829
731,-686904
732,939550
733,-316375
734,-435168
735,994447
736,-128624
737,546749
738,-74170
739,-844326
740,375851
741,-704180
742,100286
743,-156581
744,816751
745,-135298
746,-328514
747,-976928
748,243455
749,974886
750,-340715
751,287087
752,215445
753,706116
754,614350
755,602174
756,883355
757,381054
758,-983830
759,474496
760,222505
761,285463
762,-841785
763,-405167
764,-842832
765,148944
766,-932157
767,-551859
768,-424593
769,180150
770,328599
771,-245582
772,-861976
773,714185
774,-120955
775,-680422
776,-952902
777,187932
778,-586248
779,397677
780,756248
781,-678284
782,738900
783,406316
784,456577
785,-888515
786,-132676
787,-178374
788,493510
789,-131230
790,954347
791,78915
792,-18567
793,319747
794,-703522
795,563720
796,718683
797,890082
798,608019
799,-907023
800,-766227
801,290890
802,-237895
803,750457
804,-938859
805,-222134
806,228338
807,733841
808,-132516
809,-853513
810,526698
811,-668647
812,223973
813,967740
814,906759
815,-63726
816,969046
817,220781
818,-21291
819,326509
820,742847
821,-558125
822,500300
823,-681777
824,796560
825,45816
826,-732443
827,453013
828,-570732
829,714908
830,-393073
831,-554890
832,724838
833,-453073
834,-716674
835,-663224
836,343099
837,-548584
838,520154
839,-208628
840,154745
841,743747
842,-345444
843,316981
844,-505652
845,-599550
846,-695510
847,-663433
848,-814070
849,258400
850,60043
851,-352479
852,-556774
853,-409057
854,743433
855,-186905
856,-805433
857,-329472
858,814492
859,676166
860,-44052
861,689525
862,-495209
863,-200826
864,-520294
865,-600850
866,80065
867,-927172
868,54705
869,-628768
870,-860587
871,-291358
872,-761664
873,34186
874,95084
875,538542
876,143156
877,-786155
878,327644
879,401710
880,833368
881,150127
882,522070
883,-818671
884,164302
885,246723
886,753974
887,950652
888,676806
889,596039
890,-427365
891,-569431
892,994393
893,882872
894,908416
895,-401797
896,-727403
897,930006
898,-576230
899,766710
900,272765
901,768932
902,-839574
903,-936131
904,-496419
905,306170
906,427259
907,380562
908,948714
909,675957
910,-980625
911,-970496
912,-89660
913,-612775
914,-809194
915,-964129
916,-869683
917,-412366
918,-266252
919,518345
920,889263
921,100293
922,-270512
923,-873717
924,685684
925,329575
926,444351
927,-99759
928,-30992
929,515787
930,-844786
931,-111319
932,286770
933,369751
934,-469961
935,727416
936,883996
937,618005
938,464788
939,-147641
940,813942
941,-352014
942,-314813
943,-221792
944,432590
945,605375
946,490443
947,-911591
948,84973
949,-773167
950,638548
951,320571
952,435236
953,857242
954,138863
955,-601400
956,63784
957,-93501
958,898156
959,277777
960,611622
961,-994373
962,515104
963,-945511
964,52170
965,-962786
966,-366216
967,789652
968,-60648
969,-977277
970,267243
971,-3349
972,882492
973,-50121
974,-806863
975,-983469
976,702481
977,-412899
978,-873155
979,-26313
980,-826287
981,886120
982,596320
983,-546904
984,731654
985,129772
986,737202
987,-593770
988,589067
989,129194
990,628416
991,-878222
992,-281117
993,-807928
994,46059
995,217308
996,-154874
997,-265114
998,190357
999,-291172
1000,-420211
1001,534629
1002,639349
1003,-580214
1004,-837939
1005,-622050
1006,-361466
1007,632349
1008,-978775
1009,-490870
1010,-527071
1011,569964
1012,421687
1013,424095
1014,-457609
1015,72612
1016,-737335
1017,959314
1018,785681
1019,-690622
1020,681927
1021,534601
1022,-530165
1023,-264715
1024,-139988
1025,876476
1026,582156
1027,-596450
1028,-192868
1029,337622
1030,-299122
1031,806679
1032,493006
1033,-185813
1034,476625
1035,434689
1036,-156088
1037,-210209
1038,-487282
1039,947617
1040,-678969
1041,-933755
1042,-513755
1043,855022
1044,-917129
1045,275943
1046,28627
1047,949662
1048,-528498
1049,292537
1050,176555
1051,239937
1052,-267234
1053,-764027
1054,195807
1055,113609
1056,379667
1057,-878453
1058,-883952
1059,-954553
1060,-156901
1061,-238767
1062,724735
1063,420916
1064,-793216
1065,-607414
1066,355500
1067,565802
1068,-745049
1069,-421388
1070,-45543
1071,304024
1072,128501
1073,-951271
1074,27360
1075,981739
1076,989051
1077,-911147
1078,-308294
1079,131877
1080,-318124
1081,-924387
1082,283143
1083,-898743
1084,-752417
1085,354206
1086,481865
1087,-793747
1088,59996
1089,-392114
1090,954870
1091,574086
1092,-177548
1093,583738
1094,625465
1095,-238280
1096,244364
1097,-120298
1098,-955301
1099,485669
1100,515568
1101,446597
1102,-900583
1103,967319
1104,102526
1105,-272831
1106,-582144
1107,372551
1108,788318
1109,-452864
1110,-481270
1111,-484514
1112,-919991
1113,233667
1114,-432229
1115,758878
1116,441244
1117,-57354
1118,946786
1119,693379
1120,-528842
1121,266950
1122,282581
1123,298298
1124,42167
1125,-390942
1126,-504408
1127,51798
1128,109955
1129,223209
1130,-923847
1131,667710
1132,-577370
1133,-739705
1134,376864
1135,-816745
1136,574815
1137,-528973
1138,-159238
1139,84686
1140,604997
1141,315155
1142,-447007
1143,352160
1144,-111732
1145,-463598
1146,252582
1147,255656
1148,937100
1149,-464534
1150,301145
1151,57451
1152,-143474
1153,877918
1154,-560137
1155,118649
1156,951938
1157,130002
1158,183509
1159,117190
1160,734928
1161,-521623
1162,-27024
1163,202696
1164,-498360
1165,-845314
1166,354102
1167,-408026
1168,-670573
1169,118544
1170,497650
1171,891694
1172,-789924
1173,721041
1174,730512
1175,386919
1176,-578659
1177,338457
1178,507420
1179,-669790
1180,-282787
1181,7951
1182,47712
1183,-627056
1184,-260051
1185,-685874
1186,718344
1187,-795342
1188,672425
1189,95874
1190,-444984
1191,-145813
1192,-551137
1193,-289551
1194,-428692
1195,23384
1196,-468758
1197,875600
1198,-871988
1199,135270
1200,223256
1201,798299
1202,327738
1203,-956795
1204,-653574
1205,-759967
1206,982344
1207,-525260
1208,176626
1209,-740374
1210,459203
1211,-59407
1212,797571
1213,103928
1214,-884034
1215,-236014
1216,-666262
1217,793644
1218,796300
1219,-702497
1220,317288
1221,10486
1222,-857669
1223,989867
1224,837442
1225,-257772
1226,-112570
1227,-928176
1228,886507
1229,315819
1230,-992325
1231,664012
1232,880556
1233,763353
1234,-805191
1235,-977845
1236,2208
1237,363863
1238,233700
1239,-386333
1240,145504
1241,-881339
1242,265467
1243,401559
1244,805425
1245,590685
1246,77234
1247,52075
1248,-401495
1249,-162178
1250,-480759
1251,-903420
1252,-613870
1253,168931
1254,915
1255,822203
1256,891628
1257,-929874
1258,814088
1259,-640507
1260,-904235
1261,203935
1262,-108158
1263,-813413
1264,608353
1265,-810954
1266,-660711
1267,-818074
1268,-650999
1269,-208511
1270,405225
1271,852120
1272,-398310
1273,-378938
1274,-608145
1275,-304627
1276,-67394
1277,-498656
1278,982973
1279,-541223
1280,-961509
1281,-696161
1282,-723694
1283,983309
1284,817783
1285,-832048
1286,-937061
1287,-897321
1288,-936556
1289,275692
1290,-811406
1291,-632162
1292,373230
1293,-644540
1294,-409938
1295,140016
1296,668880
1297,428093
1298,461189
1299,-968232
1300,364204
1301,504437
1302,-998738
1303,22807
1304,580736
1305,68610
1306,395940
1307,425592
1308,-56803
1309,-583976
1310,-820249
1311,784049
1312,680372
1313,190021
1314,328236
1315,-312967
1316,443210
1317,-188073
1318,44167
1319,-915324
1320,-762900
1321,-975911
1322,-114346
1323,-407753
1324,520058
1325,-107228
1326,293477
1327,658517
1328,-475948
1329,-713896
1330,-235253
1331,281256
1332,404655
1333,685723
1334,748842
1335,-124091
1336,-575191
1337,12964
1338,670611
1339,443727
1340,-277784
1341,2141
1342,-888578
1343,308464
1344,-635706
1345,470976
1346,528589
1347,1605
1348,313946
1349,-732546
1350,887471
1351,-19514
1352,-181405
1353,176146
1354,-257433
1355,817574
1356,679699
1357,247643
1358,256623
1359,114564
1360,-260289
1361,-600448
1362,-152528
1363,-981785
1364,-9441
1365,-365614
1366,-642305
1367,-712291
1368,808146
1369,-848196
1370,-119769
1371,-570610
1372,504820
1373,368150
1374,995139
1375,377232
1376,-434069
1377,134445
1378,245595
1379,-522093
1380,167424
1381,383191
1382,-736356
1383,-370869
1384,757607
1385,753257
1386,-584504
1387,419821
1388,-317605
1389,465914
1390,711939
1391,874198
1392,315251
1393,673681
1394,-501395
1395,-359797
1396,219203
1397,73088
1398,691743
1399,-236021
1400,-572519
1401,-917022
1402,-113396
1403,375154
1404,405926
1405,10737
1406,389838
1407,-715747
1408,910051
1409,715097
1410,-468169
1411,-609368
1412,-711847
1413,762364
1414,659991
1415,-717028
1416,65134
1417,-889768
1418,376928
1419,168425
1420,-423701
1421,-783952
1422,-229581
1423,956888
1424,467415
1425,481121
1426,-982760
1427,-797498
1428,357040
1429,897349
1430,680362
1431,705002
1432,362245
1433,590169
1434,860408
1435,-373708
1436,409288
1437,-938658
1438,250896
1439,71772
1440,-808770
1441,197746
1442,-453467
1443,-270091
1444,106596
1445,242107
1446,-998963
1447,946947
1448,512639
1449,475735
1450,50115
1451,-627599
1452,730081
1453,539123
1454,373229
1455,-254012
1456,218904
1457,-281178
1458,-869687
1459,656345
1460,-162145
1461,984690
1462,-274712
1463,712960
1464,-235546
1465,-432046
1466,-214132
1467,217758
1468,930475
1469,-510730
1470,-649490
1471,-485142
1472,946775
1473,11499
1474,-183651
1475,227654
1476,671392
1477,-831613
1478,-545470
1479,231641
1480,-898020
1481,495224
1482,224782
1483,888133
1484,801307
1485,353181
1486,458856
1487,-729860
1488,31414
1489,-505822
1490,155959
1491,647840
1492,839578
1493,-853832
1494,818401
1495,436571
1496,-273276
1497,156716
1498,709026
1499,-752867
1500,-666985
1501,533632
1502,-809394
1503,-91725
1504,-430317
1505,-663616
1506,657170
1507,419194
1508,377174
1509,-950900
1510,680129
1511,692034
1512,-480487
1513,-827320
1514,757602
1515,-7343
1516,699111
1517,280864
1518,-372303
1519,8080
1520,726522
1521,-532431
1522,280211
1523,807132
1524,-581406
1525,-953988
1526,-448516
1527,897259
1528,182977
1529,433398
1530,629078
1531,188081
1532,565157
1533,-740065
1534,-463196
1535,-62780
1536,-791151
1537,-831806
1538,814565
1539,63755
1540,839847
1541,477477
1542,219883
1543,-561161
1544,-64789
1545,711043
1546,873164
1547,928006
1548,-641688
1549,160399
1550,625520
1551,135513
1552,-644609
1553,170441
1554,534117
1555,-647040
1556,573495
1557,148663
1558,384190
1559,-86587
1560,921929
1561,-101957
1562,425915
1563,-998021
1564,-443149
1565,-656022
1566,-940590
1567,666323
1568,-834797
1569,-194136
1570,-943027
1571,-213748
1572,-55881
1573,983988
1574,-358837
1575,-320509
1576,-687589
1577,-423544
1578,688617
1579,411296
1580,-521844
1581,-663367
1582,-413641
1583,-23501
1584,782418
1585,483237
1586,-859636
1587,-311266
1588,-697214
1589,970789
1590,432250
1591,494645
1592,-491648
1593,755068
1594,-320916
1595,485535
1596,931940
1597,311051
1598,-955888
1599,-768551
1600,-860591
1601,365750
1602,291009
1603,243199
1604,-997795
1605,-944726
1606,360807
1607,895067
1608,-983673
1609,-978918
1610,-333210
1611,163724
1612,-287114
1613,416164
1614,-607259
1615,-689168
1616,-403217
1617,-846077
1618,119396
1619,251025
1620,-79901
1621,-981254
1622,547335
1623,-426860
1624,-990954
1625,912034
1626,-904946
1627,-423267
1628,734807
1629,845977
1630,-112731
1631,-247578
1632,238836
1633,48985
1634,143835
1635,-245307
1636,757932
1637,-548225
1638,743285
1639,-125007
1640,120115
1641,-551360
1642,585025
1643,-541148
1644,103944
1645,-544630
1646,-608839
1647,-947243
1648,-919680
1649,-689533
1650,183628
1651,501504
1652,-503919
1653,-925995
1654,-918484
1655,992082
1656,-710737
1657,638658
1658,474210
1659,513496
1660,-872645
1661,-867948
1662,-402742
1663,956406
1664,810003
1665,-489874
1666,-973075
1667,413342
1668,583486
1669,-791780
1670,698254
1671,328856
1672,673866
1673,-73271
1674,-702666
1675,763448
1676,-129094
1677,549216
1678,-22422
1679,314230
1680,624706
1681,65307
1682,126031
1683,130049
1684,782860
1685,-110551
1686,195366
1687,186369
1688,-89057
1689,495222
1690,351860
1691,-517959
1692,694816
1693,253584
1694,830870
1695,-793960
1696,29273
1697,-379981
1698,-748245
1699,945869
1700,352636
1701,229911
1702,17922
1703,-312002
1704,903065
1705,-403038
1706,326454
1707,-675873
1708,-704669
1709,-682600
1710,-943431
1711,80816
1712,901613
1713,-453844
1714,506042
1715,668622
1716,549119
1717,170077
1718,380700
1719,-847433
1720,195293
1721,-265533
1722,93416
1723,520682
1724,730494
1725,925549
1726,109158
1727,858952
1728,-877761
1729,236786
1730,482730
1731,889258
1732,-588527
1733,-731139
1734,-37207
1735,-130588
1736,868558
1737,673847
1738,-546173
1739,512196
1740,431162
1741,857134
1742,550675
1743,-245253
1744,-466729
1745,360730
1746,820813
1747,-141197
1748,-292864
1749,-456668
1750,515758
1751,-42806
1752,950041
1753,512681
1754,741188
1755,-515063
1756,518792
1757,-490860
1758,-260430
1759,457565
1760,674527
1761,-623704
1762,469273
1763,-446377
1764,-240366
1765,-601426
1766,532453
1767,447004
1768,-854471
1769,-301124
1770,325032
1771,-112966
1772,-853732
1773,-532107
1774,-284089
1775,-132750
1776,-871083
1777,80469
1778,-167229
1779,-160399
1780,803900
1781,402847
1782,-76243
1783,-63182
1784,-658916
1785,816985
1786,843830
1787,296261
1788,932525
1789,975863
1790,284249
1791,-980920
1792,-662366
1793,103288
1794,760567
1795,-513196
1796,405241
1797,-413779
1798,-710100
1799,-787067
1800,-666438
1801,-725117
1802,-1092
1803,435874
1804,-980729
1805,-533999
1806,-269339
1807,-306738
1808,-652564
1809,-209372
1810,915499
1811,893988
1812,537302
1813,789385
1814,983842
1815,14250
1816,-376399
1817,702748
1818,-337858
1819,-698065
1820,-268696
1821,-962476
1822,888658
1823,261069
1824,-171188
1825,833650
1826,-270398
1827,-556206
1828,-458048
1829,646745
1830,-838198
1831,-804016
1832,442792
1833,19548
1834,863474
1835,-9483
1836,-181977
1837,841906
1838,-910574
1839,-226411
1840,-546328
1841,-176421
1842,666094
1843,-432628
1844,955203
1845,145964
1846,-501580
1847,-520452
1848,-990863
1849,732034
1850,750712
1851,-919330
1852,916597
1853,-98235
1854,957254
1855,58177
1856,279324
1857,126223
1858,-583728
1859,832655
1860,-227447
1861,-476007
1862,-409727
1863,968552
1864,-380654
1865,286685
1866,-326029
1867,258819
1868,-282627
1869,-999483
1870,-865262
1871,676631
1872,383147
1873,257525
1874,717889
1875,546288
1876,-618504
1877,877246
1878,-988036
1879,89523
1880,227333
1881,211010
1882,-992520
1883,342434
1884,258952
1885,517143
1886,-548342
1887,-139645
1888,-863852
1889,-337008
1890,-594193
1891,532245
1892,576316
1893,-968419
1894,92804
1895,-242853
1896,327766
1897,399740
1898,-123745
1899,177158
1900,137492
1901,-934012
1902,395491
1903,-1511
1904,-789312
1905,959486
1906,-407742
1907,950750
1908,-585238
1909,426631
1910,442912
1911,748710
1912,959095
1913,328595
1914,-947135
1915,-554014
1916,-129260
1917,898879
1918,851218
1919,139519
1920,301780
1921,668044
1922,670484
1923,-873716
1924,-52715
1925,304801
1926,732175
1927,692572
1928,974503
1929,-359216
1930,-616859
1931,-359591
1932,-304081
1933,-608038
1934,-858415
1935,161495
1936,191440
1937,-27934
1938,-882915
1939,-764638
1940,-318965
1941,216004
1942,-929482
1943,-744355
1944,985061
1945,891931
1946,207054
1947,462141
1948,681993
1949,-716743
1950,-893648
1951,413287
1952,206966
1953,94237
1954,457361
1955,123628
1956,561537
1957,-898585
1958,-388210
1959,-814241
1960,-171678
1961,614746
1962,854235
1963,944611
1964,-71416
1965,-178294
1966,294491
1967,883300
1968,-369131
1969,403819
1970,105285
1971,330301
1972,611339
1973,-413352
1974,891060
1975,652915
1976,755327
1977,-362182
1978,-688958
1979,759224
1980,-946579
1981,-912505
1982,298207
1983,-239182
1984,-945344
1985,-755550
1986,-632553
1987,536391
1988,-990382
1989,-674850
1990,-711435
1991,-779934
1992,-565110
1993,-728851
1994,233083
1995,309759
1996,247229
1997,779965
1998,461179
1999,-149762
2000,374321
2001,-226870
2002,-956471
2003,-417546
2004,950948
2005,915901
2006,-530733
2007,-628345
2008,265052
2009,-126780
2010,475346
2011,742862
2012,-332223
2013,828873
2014,28651
2015,478653
2016,-807677
2017,-146676
2018,946594
2019,117454
2020,894029
2021,821181
2022,468554
2023,-424442
2024,-546013
2025,-667340
2026,-721222
2027,603894
2028,-628443
2029,-503789
2030,234031
2031,-458851
2032,-773921
2033,-399333
2034,111737
2035,-550150
2036,316555
2037,951334
2038,259934
2039,-413314
2040,340845
2041,-123812
2042,372494
2043,-522489
2044,-648530
2045,790302
2046,21406
2047,-972264
2048,-10298
2049,441637
2050,-675037
2051,-288341
2052,977152
2053,658889
2054,-548541
2055,-157376
2056,-522991
2057,-561695
2058,-554544
2059,-889027
2060,-783398
2061,-783518
2062,82492
2063,775968
2064,590126
2065,149986
2066,-801669
2067,-987743
2068,573855
2069,460308
2070,863846
2071,41037
2072,-964167
2073,560085
2074,440867
2075,-424066
2076,-334023
2077,58832
2078,-772569
2079,416619
2080,43604
2081,-303435
2082,984777
2083,-125694
2084,500874
2085,-909837
2086,166464
2087,220071
2088,-776291
2089,-240223
2090,-506748
2091,674281
2092,401051
2093,284771
2094,396865
2095,808559
2096,-49846
2097,-132999
2098,461122
2099,-82608
2100,-44329
2101,313897
2102,685165
2103,-75450
2104,-509936
2105,736081
2106,-481782
2107,-124885
2108,-173248
2109,762076
2110,-973096
2111,742727
2112,569947
2113,-151397
2114,437401
2115,-916575
2116,-768479
2117,985738
2118,174058
2119,-553787
2120,504507
2121,972958
2122,171862
2123,-560722
2124,-410927
2125,820180
2126,-381739
2127,-327617
2128,-137768
2129,-913413
2130,625597
2131,-6271
2132,173524
2133,-174391
2134,368099
2135,-853161
2136,262510
2137,-64278
2138,542654
2139,614268
2140,491117
2141,-491891
2142,809007
2143,-372566
2144,-755482
2145,351797
2146,-846184
2147,270513
2148,-73064
2149,357789
2150,-728872
2151,369362
2152,-927919
2153,-678197
2154,377770
2155,-820210
2156,227160
2157,224638
2158,-857887
2159,645757
2160,211324
2161,-192229
2162,-347390
2163,792454
2164,-73736
2165,607994
2166,503818
2167,413428
2168,-99913
2169,125854
2170,102966
2171,-70577
2172,-920652
2173,-255534
2174,-229180
2175,-336403
2176,902645
2177,474820
2178,28006
2179,-840839
2180,-464397
2181,264865
2182,-709728
2183,947467
2184,814546
2185,-59825
2186,475263
2187,317755
2188,946606
2189,-629378
2190,872033
2191,-681783
2192,-665129
2193,-586825
2194,69432
2195,775226
2196,365122
2197,-282358
2198,-355104
2199,-780920
2200,-45147
2201,-865526
2202,492066
2203,-169876
2204,-676229
2205,-539056
2206,-424302
2207,-132499
2208,-43890
2209,-788430
2210,235827
2211,-583442
2212,-175127
2213,87178
2214,181081
2215,-639946
2216,-312719
2217,-598212
2218,-492408
2219,-392923
2220,-317441
2221,-795264
2222,967214
2223,-653978
2224,-462968
2225,157446
2226,995803
2227,879450
2228,-75869
2229,-52865
2230,118892
2231,-664341
2232,967869
2233,-735707
2234,322309
2235,675037
2236,963758
2237,-555353
2238,-801323
2239,-533137
2240,223504
2241,-883114
2242,-826249
2243,390665
2244,517827
2245,-131789
2246,-769374
2247,-138694
2248,-379298
2249,371873
2250,-505657
2251,-588738
2252,-710221
2253,950319
2254,820635
2255,432252
2256,897672
2257,-549274
2258,729496
2259,-627415
2260,806356
2261,-279533
2262,682123
2263,-126840
2264,-909962
2265,-869347
2266,-614158
2267,69650
2268,555218
2269,-125961
2270,229629
2271,-168477
2272,696086
2273,-291712
2274,-475970
2275,-17630
2276,-949130
2277,425032
2278,867690
2279,237709
2280,-323457
2281,577143
2282,575885
2283,251015
2284,279281
2285,-770163
2286,-533676
2287,425948
2288,-83506
2289,-31076
2290,-637156
2291,540695
2292,526855
2293,497351
2294,-962445
2295,816732
2296,865730
2297,144352
2298,-864173
2299,-742006
2300,365450
2301,341281
2302,-940050
2303,-296618
2304,-193509
2305,-547764
2306,950315
